itlbo,mode,moea_d,nsga_ii
21.53,12.24,12.99,20.34
58.41,24.1,45.14,6.62
46.15,60.31,296.78,7.16
4.81,12.2,11.78,16.31
5.69,51.4,43.39,6.77
7.04,31.04,54.65,7.31
3.34,8.53,12.55,6.37
4.76,33.12,29.2,48.03
7.35,20.36,56.81,4.52
10.55,385.77,60.5,10.51
